start,end,SP,max_correlation,lag_max_correlation
2022-05-01,2022-07-31,1,-0.3240496725714295,-27
2022-05-01,2022-07-31,2,-0.3357554120208149,-21
2022-05-01,2022-07-31,3,-0.2977996773606886,-1
2022-05-01,2022-07-31,4,-0.29004037305242286,-42
2022-05-01,2022-07-31,5,0.2723066302330553,-15
2022-05-01,2022-07-31,6,0.3246607982523707,35
2022-05-01,2022-07-31,7,0.22846021045377152,36
2022-05-01,2022-07-31,8,-0.29249985082130125,-17
2022-08-01,2022-10-31,1,-0.39835510068471186,-1
2022-08-01,2022-10-31,2,-0.6504761146565691,-34
2022-08-01,2022-10-31,3,-0.3666129169264321,-1
2022-08-01,2022-10-31,4,0.3096502282633565,16
2022-08-01,2022-10-31,5,0.45274879238223925,-42
2022-08-01,2022-10-31,6,0.2695621630415001,-32
2022-08-01,2022-10-31,7,0.34258136575393355,7
2022-08-01,2022-10-31,8,-0.3102137567744099,-1
2022-11-01,2023-01-31,1,-0.5301024639333498,-1
2022-11-01,2023-01-31,2,-0.3680198321140754,-6
2022-11-01,2023-01-31,3,-0.49583095351861434,-1
2022-11-01,2023-01-31,4,-0.41533981821206895,-1
2022-11-01,2023-01-31,5,-0.46652248493479004,-1
2022-11-01,2023-01-31,6,-0.4607773552847416,-2
2022-11-01,2023-01-31,7,-0.3907897693226937,-12
2022-11-01,2023-01-31,8,-0.44037028856957455,-13
2023-02-01,2023-04-30,1,-0.4712938811434512,-1
2023-02-01,2023-04-30,2,-0.6102621828967838,-1
2023-02-01,2023-04-30,3,-0.5882978466207338,-1
2023-02-01,2023-04-30,4,-0.43300417996948515,-1
2023-02-01,2023-04-30,5,0.40648453513028865,10
2023-02-01,2023-04-30,6,0.49515242168080276,9
2023-02-01,2023-04-30,7,-0.494433842672931,-36
2023-02-01,2023-04-30,8,0.5807962243811963,8
2023-05-01,2023-07-31,1,-0.7141539842479199,-1
2023-05-01,2023-07-31,2,-0.7137466311535893,-1
2023-05-01,2023-07-31,3,-0.7131362904120239,-1
2023-05-01,2023-07-31,4,-0.7139768338296311,-1
2023-05-01,2023-07-31,5,-0.7142959676354572,-1
2023-05-01,2023-07-31,6,0.23138812110625773,1
2023-05-01,2023-07-31,7,-0.3989984683873494,-1
2023-05-01,2023-07-31,8,-0.26872767426420574,-8
2023-08-01,2023-10-31,1,-0.29941982043827203,5
2023-08-01,2023-10-31,2,-0.6611054328532444,-1
2023-08-01,2023-10-31,3,-0.17983890789648585,5
2023-08-01,2023-10-31,4,-0.5980989535889406,-1
2023-08-01,2023-10-31,5,-0.6606503621158394,-1
2023-08-01,2023-10-31,6,0.31144239961915177,34
2023-08-01,2023-10-31,7,0.3130729871257108,37
2023-08-01,2023-10-31,8,0.1664596062171896,23
2023-11-01,2024-01-31,1,-0.5262545948762508,-18
2023-11-01,2024-01-31,2,-0.6562578829273957,-1
2023-11-01,2024-01-31,3,-0.5159686706587516,-18
2023-11-01,2024-01-31,4,-0.30384645723325304,-7
2023-11-01,2024-01-31,5,-0.6557614366460571,-1
2023-11-01,2024-01-31,6,-0.41040925344232737,-18
2023-11-01,2024-01-31,7,-0.5801221399858084,-18
2023-11-01,2024-01-31,8,0.48344851784379694,0
2024-02-01,2024-04-30,1,-0.42874913476252335,-1
2024-02-01,2024-04-30,2,-0.7263309148412846,-1
2024-02-01,2024-04-30,3,-0.4452930958167377,-1
2024-02-01,2024-04-30,4,-0.42068658490593563,-1
2024-02-01,2024-04-30,5,-0.6136774667527065,-1
2024-02-01,2024-04-30,6,-0.5176284300080487,-1
2024-02-01,2024-04-30,7,-0.41927055130161395,-1
2024-02-01,2024-04-30,8,-0.2032350549624864,-5
